,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,redemption_curr,redemption_12M,new_Fund_added_12M_x,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MONEY,aum_AC_MULTIPLE,aum_AC_PHYSICAL_COMMODITY,aum_AC_REAL_ESTATE,aum_AC_TARGET,aum_P_529,aum_P_ALT,aum_P_CEF,aum_P_ETF,aum_P_MF,aum_P_SMA,aum_P_UCITS,aum_P_UIT,sales_12M_inclusive,sales_12M,new_Fund_added_12M_y,Channel,Sub channel,Firm name
0,0047433,21.0,38.0,,1.0,5.0,5.0,,1.0,2.0,2.0,,1.0,8.0,1.0,237480.11,-1496.745,-102496.165,,-47342.32,284737.93,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122866.04,114614.07,0.0,0.0,19932.0,18633.105,,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
1,4461312,,,,,,,,,,,,,1.0,1.0,19629.0,,,,0.0,19629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19629.0,0.0,0.0,0.0,,,,Dual,IBD,Charles Schwab Investor Services
2,4491079,,,,,,,,,,,,,,,1758.7,,,,0.0,1758.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.7,0.0,0.0,0.0,,,,Independent Dealer,RIA,The O.N. Equity Sales Company
3,0107408,20.0,,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,57943.0,,,1.0,0.0,0.0,57943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57943.0,0.0,0.0,0.0,57943.0,93212.0,1.0,Independent Dealer,IBD,"Northwestern Mutual Investment Services, LLC"
4,85101140503769936458,,,,,,,,,,,,,,,-8573.59,,,,-8573.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8573.59,0.0,0.0,0.0,,,,Independent Dealer,RIA,"Berthel, Fisher & Co. Financial Services, Inc."
5,0077354,71.0,55.0,20.0,4.0,7.0,7.0,6.0,4.0,2.0,2.0,2.0,2.0,12.0,2.0,-3351007.13,-18231.645,-178484.29,2.0,-1548360.155,667083.625,0.0,0.0,-2479280.6,9550.0,0.0,0.0,0.0,0.0,9550.0,0.0,255611.95,-3616169.08,0.0,0.0,1321186.555,467693.045,,National Broker-Dealer,NACS,Merrill Lynch
6,0339286,16.0,16.0,2.0,,5.0,5.0,2.0,,3.0,3.0,1.0,,20.0,4.0,2649249.57,-20488.06,-56948.29,2.0,903032.68,141857.35,1540006.99,0.0,64352.55,0.0,0.0,0.0,0.0,0.0,1797990.15,0.0,248705.42,129121.95,0.0,473432.05,,106907.08,,National Broker-Dealer,NACS,Merrill Lynch
7,0332592,6.0,,,,2.0,,,,2.0,,,,5.0,1.0,-449720.32,,,,304861.37,-753184.58,0.0,0.0,-1397.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70866.67,-378853.65,0.0,0.0,,2971.72,,Independent Dealer,NACS,Wells Fargo Advisors
8,85202131213651223170,5.0,4.0,,,1.0,1.0,,,1.0,1.0,,,,,-20865.26218,,-6752.526579,,-24173.5356,3308.273421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3308.273421,-24173.5356,0.0,0.0,,,,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
9,4301594,1.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,3.0,,-2713149.475,-14232.47,-62091.95,1.0,-2045907.7,-540345.92,-126895.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776160.105,-3489309.58,0.0,0.0,,10000.0,1.0,Independent Dealer,NACS,Wells Fargo Advisors
10,85102150753418532658,71.0,15.0,,,2.0,1.0,,,1.0,1.0,,,2.0,1.0,46290.81,-1.95,-5029.65,1.0,46290.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46290.81,0.0,0.0,0.0,19376.69,48709.05,2.0,Independent Dealer,IBD,"AXA Advisors, LLC"
11,0207147,,,,,,,,,,,,,,,-6814.47,,,,-6814.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5685.57,-12500.04,0.0,0.0,,,,Independent Dealer,IBD,"Securities America, Inc."
12,85201141244914165761,1.0,3.0,,,1.0,1.0,,,1.0,1.0,,,,,-427983.93,,-2442.43,1.0,-427983.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-427983.93,0.0,0.0,0.0,,930.45,,Independent Dealer,IBD,Edward Jones
13,85102131724377951377,,,,,,,,,,,,,,,-1575.96,,,,-1575.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1575.96,0.0,0.0,0.0,,,,Independent Dealer,IBD,Hilltop Securities Inc
14,85202123096934315268,,,,,,,,,,,,,,,-1133.0,,,,0.0,-1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1133.0,0.0,0.0,,,,Independent Dealer,RIA,Fidelity Brokerage Services LLC
15,85202123353699687291,,,,,,,,,,,,,,,-10917.99,,,,0.0,-10917.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10917.99,0.0,0.0,0.0,,,,Independent Dealer,IBD,PlanMember Securities Corp.
16,0350840,,,,,,,,,,,,,1.0,,-28387.02,,,,-1788.53,-26710.43,0.0,0.0,111.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28387.02,0.0,0.0,0.0,,,,Independent Dealer,NACS,Wells Fargo Advisors
17,4342342,71.0,280.0,40.0,11.0,6.0,9.0,2.0,3.0,4.0,4.0,2.0,2.0,9.0,3.0,-833145.245,-9654.41,-553608.835,1.0,332648.63,676647.195,830356.195,0.0,-2672797.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461605.53,-2294750.775,0.0,0.0,929415.1000000001,926689.255,1.0,Independent Dealer,NACS,"Wells Fargo Advisors Financial Network, LLC"
18,0109686,,,,,,,,,,,,,1.0,1.0,-9934.225,,,,9044.59,-18978.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9934.225,0.0,0.0,0.0,,,,Independent Dealer,IBD,Robert W. Baird & Co. Inc.
