Contact ID,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name,
0000286,1,1948520,17993101120,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0000422,2,1688552,85202111664692445495,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0000508,3,1567450,15674503441,National Broker-Dealer,NACS,Merrill Lynch,
0000604,4,0022885,85102132106001250782,Independent Dealer,IBD,LPL Financial LLC,
0000657,5,1567450,15674501882,National Broker-Dealer,NACS,Merrill Lynch,
0000743,6,1173905,11739050001,Independent Dealer,IBD,Davenport & Co. LLC,
0000823,7,0001194,10751180073851680124,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0001376,8,1567450,15674500152,National Broker-Dealer,NACS,Merrill Lynch,
0001713,9,9000166,90001663221,Independent Dealer,NACS,Wells Fargo Advisors,
0001729,10,9000166,90001660120,Independent Dealer,NACS,Wells Fargo Advisors,
0001806,11,1948520,17993101249,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0001905,12,3004299,30042990441,Independent Dealer,IBD,"Sagepoint Financial, Inc.",
0003173,13,0002096,85201152885157678809,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0003373,14,9000166,90001661421,Independent Dealer,NACS,Wells Fargo Advisors,
0003379,15,1273255,12732550476,Independent Dealer,NACS,Oppenheimer & Co. Inc.,
0003446,16,1567450,15674500393,National Broker-Dealer,NACS,Merrill Lynch,
0003637,17,0022885,00228856328,Independent Dealer,IBD,LPL Financial LLC,
0003703,18,1567450,15674502237,National Broker-Dealer,NACS,Merrill Lynch,
0004080,19,1567450,15674500322,National Broker-Dealer,NACS,Merrill Lynch,
0004348,20,1125070,85102160433608793190,Dual,IBD,"Calton & Associates, Inc.",
0004625,21,1171547,11715471018,Independent Dealer,NACS,RBC Wealth Management,
0004667,22,1567450,10751191805192898639,National Broker-Dealer,NACS,Merrill Lynch,
0005043,23,3004045,30040450008,Fee-Based Adviser,RIA,"HighTower Advisors, LLC",
0005078,24,1567450,15674500393,National Broker-Dealer,NACS,Merrill Lynch,
0005174,25,1790370,17903700467,Fee-Based Adviser,IBD,Sigma Financial Corp.,
0005379,26,1076974,13639700760,Independent Dealer,IBD,Robert W. Baird & Co. Inc.,
0006611,27,1916112,85201103595621659347,Independent Dealer,IBD,Waddell & Reed Inc.,
0007367,28,1567450,15674500379,National Broker-Dealer,NACS,Merrill Lynch,
0007390,29,1948520,17993101282,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0007442,30,1567450,15674500090,National Broker-Dealer,NACS,Merrill Lynch,
0007512,31,1423908,14239081531,Independent Dealer,IBD,"Royal Alliance Associates, Inc.",
0007546,32,1688552,85202113235218031788,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0007791,33,1688552,16885520070,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0007852,34,9000166,90001663083,Independent Dealer,NACS,Wells Fargo Advisors,
0008000,35,1567450,85101103525787787049,National Broker-Dealer,NACS,Merrill Lynch,
0008234,36,1688552,16885521253,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0008683,37,1687308,16873080806,Dual,RIA,"Nationwide Securities, LLC",
0008850,38,0001194,85201161984461111904,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0009925,39,0022885,85101162103214647495,Independent Dealer,IBD,LPL Financial LLC,
0009979,40,0022885,00228851191,Independent Dealer,IBD,LPL Financial LLC,
0010109,41,0001194,00011943075,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0010412,42,9000166,90001663409,Independent Dealer,NACS,Wells Fargo Advisors,
0010899,43,1567450,15674502486,National Broker-Dealer,NACS,Merrill Lynch,
0011090,44,1576620,15766201234,Independent Dealer,IBD,"MML Investors Services, LLC",
0011234,45,1948520,17993101168,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0012546,46,85202120555289914673,85102143675590182616,Fee-Based Adviser,RIA,Snowden Lane Partners,
0012777,47,0001194,00011943004,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0013001,48,9000166,90001663415,Independent Dealer,NACS,Wells Fargo Advisors,
0013088,49,0033650,00336500002,Independent Dealer,IBD,Newbridge Securities Corp.,
0013097,50,85101121853333034752,85101153283441874010,Independent Dealer,IBD,CoreCap Investments,
0013311,51,1816025,18160250993,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0013347,52,1688552,16885520930,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0013722,53,1735461,17354610892,Independent Dealer,IBD,Raymond James & Associates Inc.,
0013726,54,1171547,11715471240,Independent Dealer,NACS,RBC Wealth Management,
0013760,55,0022885,85201103643665635137,Independent Dealer,IBD,LPL Financial LLC,
0013873,56,1036797,10367971171,Independent Dealer,IBD,Ameritas Investment Corp.,
0014118,57,9000166,90001662124,Independent Dealer,NACS,Wells Fargo Advisors,
0014672,58,3004522,85102132205171229907,Dual,IBD,Benjamin F. Edwards & Company,
0015023,59,1735461,15831800708,Independent Dealer,IBD,Raymond James & Associates Inc.,
0015066,60,1076974,85101143704938092052,Independent Dealer,IBD,Robert W. Baird & Co. Inc.,
0015241,61,9000166,90001661632,Independent Dealer,NACS,Wells Fargo Advisors,
0015258,62,1901181,19011811690,Independent Dealer,IBD,"Avantax Investment Services, Inc.",
0015695,63,1735461,10751191724752305457,Independent Dealer,IBD,Raymond James & Associates Inc.,
0016579,64,0022885,85101113734411260735,Independent Dealer,IBD,LPL Financial LLC,
0017695,65,1567450,15674501070,National Broker-Dealer,NACS,Merrill Lynch,
0018071,66,9000166,90001660509,Independent Dealer,NACS,Wells Fargo Advisors,
0018207,67,0002096,85101142145749313838,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0018580,68,1948520,85202141173426114744,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0018745,69,9000166,90001661424,Independent Dealer,NACS,Wells Fargo Advisors,
0019304,70,1948520,17993101034,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0019413,71,1816025,85202111293209064834,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0019519,72,1567450,15674501749,National Broker-Dealer,NACS,Merrill Lynch,
0019693,73,1948520,19485201224,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0019833,74,85101131845977267992,85101142053610366976,Independent Dealer,IBD,BBVA Securities Inc.,
0019853,75,1816025,18160250676,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0020070,76,1567450,85101140225891547720,National Broker-Dealer,NACS,Merrill Lynch,
0020137,77,1337775,85102150334825040465,Dual,IBD,"Independent Financial Group, LLC",
0020145,78,0002096,00020962844,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0020232,79,1735461,85101113403877496015,Independent Dealer,IBD,Raymond James & Associates Inc.,
0020233,80,1567450,15674500229,National Broker-Dealer,NACS,Merrill Lynch,
0020496,81,9000166,90001660386,Independent Dealer,NACS,Wells Fargo Advisors,
0020767,82,1901181,10761180243077533136,Independent Dealer,IBD,"Avantax Investment Services, Inc.",
0021294,83,1948520,19485208290,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0021320,84,1948520,17993101279,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0021332,85,9000166,90001663512,Independent Dealer,NACS,Wells Fargo Advisors,
0021771,86,9000166,90001663458,Independent Dealer,NACS,Wells Fargo Advisors,
0021923,87,1567450,15674501104,National Broker-Dealer,NACS,Merrill Lynch,
0022001,88,1567450,15674500014,National Broker-Dealer,NACS,Merrill Lynch,
0022131,89,1735461,17354610902,Independent Dealer,IBD,Raymond James & Associates Inc.,
0022175,90,0026841,85202151604807403543,Independent Dealer,IBD,Wilbanks Securities,
0022644,91,1110024,11100240006,Independent Dealer,IBD,"Alex Brown, A Division Of Raymond James",
0023152,92,1567450,15674500145,National Broker-Dealer,NACS,Merrill Lynch,
0023223,93,9000166,90001661929,Independent Dealer,NACS,Wells Fargo Advisors,
0023451,94,1567450,15674501107,National Broker-Dealer,NACS,Merrill Lynch,
0023456,95,9000166,90001660038,Independent Dealer,NACS,Wells Fargo Advisors,
0023528,96,0002096,85202113563869602375,Independent Dealer,IBD,"Raymond James Financial Services, Inc.",
0023559,97,0001194,00011943063,Independent Dealer,IBD,"Ameriprise Financial Services, Inc.",
0023605,98,9000166,90001661517,Independent Dealer,NACS,Wells Fargo Advisors,
0023864,99,1816025,18160250974,Independent Dealer,IBD,"Stifel, Nicolaus & Co., Inc.",
0023935,100,1128175,11281750096,Fee-Based Adviser,RIA,"Capitol Securities Management, Inc.",
0024004,101,1457652,14576520850,Independent Dealer,IBD,Janney Montgomery Scott LLC,
0024032,102,9000166,90001663777,Independent Dealer,NACS,Wells Fargo Advisors,
0024207,103,9000166,90001660038,Independent Dealer,NACS,Wells Fargo Advisors,
0024375,104,1604340,85202143664526860703,Independent Dealer,IBD,NYLife Securities LLC,
0024428,105,1948520,17993108175,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0024461,106,1128175,85201122365235830601,Fee-Based Adviser,RIA,"Capitol Securities Management, Inc.",
0024568,107,0032103,85202142345293133823,Independent Dealer,NACS,"Wells Fargo Advisors Financial Network, LLC",
0024603,108,1567450,85102142603474756016,National Broker-Dealer,NACS,Merrill Lynch,
0024684,109,0022885,85201151773951756717,Independent Dealer,IBD,LPL Financial LLC,
0024691,110,1567450,85102150884504232567,National Broker-Dealer,NACS,Merrill Lynch,
0024724,111,0013186,85202120752502866976,Independent Dealer,IBD,IMS Securities Inc.,
0024860,112,1567450,85201140125930530866,National Broker-Dealer,NACS,Merrill Lynch,
0024902,113,1688552,16885520190,National Broker-Dealer,NACS,"UBS Financial Services, Inc.",
0025009,114,1948520,19485200023,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0025166,115,0016774,85101160204359719218,Dual,IBD,"Cambridge Investment Research, Inc.",
0025173,116,1948520,17993100015,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0025244,117,9000166,90001660424,Independent Dealer,NACS,Wells Fargo Advisors,
0025254,118,9000166,90001661409,Independent Dealer,NACS,Wells Fargo Advisors,
0025519,119,1076974,85201171004608875248,Independent Dealer,IBD,Robert W. Baird & Co. Inc.,
0026193,120,1171547,11715470860,Independent Dealer,NACS,RBC Wealth Management,
0026252,121,9000166,90001664435,Independent Dealer,NACS,Wells Fargo Advisors,
0026476,122,1110024,11100240003,Independent Dealer,IBD,"Alex Brown, A Division Of Raymond James",
0026645,123,1735461,85102143324271721537,Independent Dealer,IBD,Raymond James & Associates Inc.,
0026780,124,85201112683918276481,85201142496234819279,Independent Dealer,NACS,Wells Fargo Banking & Investment Services,
0027134,125,1948520,19485201039,National Broker-Dealer,NACS,Morgan Stanley Wealth Management,
0027303,126,0022885,00228854898,Independent Dealer,IBD,LPL Financial LLC,
0027491,127,1567450,15674502203,National Broker-Dealer,NACS,Merrill Lynch,
0027821,128,1613321,16133210008,Independent Dealer,IBD,David A. Noyes & Co.,
