CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MONEY,aum_AC_MULTIPLE,aum_AC_PHYSICAL_COMMODITY,aum_AC_REAL_ESTATE,aum_AC_TARGET,aum_P_529,aum_P_ALT,aum_P_CEF,aum_P_ETF,aum_P_MF,aum_P_SMA,aum_P_UCITS,aum_P_UIT,refresh_date
0047433,21,38,,1,5,5,,1,2,2,,1,8,1,237480.11,250,19682,-1496.745,-102496.165,,-47342.32,284737.93,84.5,0,0,0,0,0,0,0,0,0,122866.04,114614.07,0,0,12/31/2018
4461312,,,,,,,,,,,,,1,1,19629,,,,,,0,19629,0,0,0,0,0,0,0,0,0,0,19629,0,0,0,12/31/2018
4491079,,,,,,,,,,,,,,,1758.7,,,,,,0,1758.7,0,0,0,0,0,0,0,0,0,0,1758.7,0,0,0,12/31/2018
0107408,20,,2,,1,,1,,1,,1,,1,1,57943,5459,52484,,,1,0,0,57943,0,0,0,0,0,0,0,0,0,57943,0,0,0,12/31/2018
85101140503769936458,,,,,,,,,,,,,,,-8573.59,,,,,,-8573.59,0,0,0,0,0,0,0,0,0,0,0,-8573.59,0,0,0,12/31/2018
0077354,71,55,20,4,7,7,6,4,2,2,2,2,12,2,-3351007.13,46936.63,1274249.925,-18231.645,-178484.29,2,-1548360.155,667083.625,0,0,-2479280.6,9550,0,0,0,0,9550,0,255611.95,-3616169.08,0,0,12/31/2018
0339286,16,16,2,,5,5,2,,3,3,1,,20,4,2649249.57,,175442.49,-20488.06,-56948.29,2,903032.68,141857.35,1540006.99,0,64352.55,0,0,0,0,0,1797990.15,0,248705.42,129121.95,0,473432.05,12/31/2018
0332592,6,,,,2,,,,2,,,,5,1,-449720.32,,9737.11,,,,304861.37,-753184.58,0,0,-1397.11,0,0,0,0,0,0,0,-70866.67,-378853.65,0,0,12/31/2018
85202131213651223170,5,4,,,1,1,,,1,1,,,,,-20865.26218,,10060.8,,-6752.526579,,-24173.5356,3308.273421,0,0,0,0,0,0,0,0,0,0,3308.273421,-24173.5356,0,0,12/31/2018
4301594,1,4,,1,1,1,,1,1,1,,1,3,,-2713149.475,,981.87,-14232.47,-62091.95,1,-2045907.7,-540345.92,-126895.855,0,0,0,0,0,0,0,0,0,776160.105,-3489309.58,0,0,12/31/2018
85102150753418532658,71,15,,,2,1,,,1,1,,,2,1,46290.81,935.8,18440.89,-1.95,-5029.65,1,46290.81,0,0,0,0,0,0,0,0,0,0,0,46290.81,0,0,0,12/31/2018
0207147,,,,,,,,,,,,,,,-6814.47,,,,,,-6814.47,0,0,0,0,0,0,0,0,0,0,0,5685.57,-12500.04,0,0,12/31/2018
85201141244914165761,1,3,,,1,1,,,1,1,,,,,-427983.93,,153.55,,-2442.43,1,-427983.93,0,0,0,0,0,0,0,0,0,0,0,-427983.93,0,0,0,12/31/2018
85102131724377951377,,,,,,,,,,,,,,,-1575.96,,,,,,-1575.96,0,0,0,0,0,0,0,0,0,0,0,-1575.96,0,0,0,12/31/2018
85202123096934315268,,,,,,,,,,,,,,,-1133,,,,,,0,-1133,0,0,0,0,0,0,0,0,0,0,0,-1133,0,0,12/31/2018
85202123353699687291,,,,,,,,,,,,,,,-10917.99,,,,,,0,-10917.99,0,0,0,0,0,0,0,0,0,0,-10917.99,0,0,0,12/31/2018
0350840,,,,,,,,,,,,,1,,-28387.02,,,,,,-1788.53,-26710.43,0,0,111.94,0,0,0,0,0,0,0,-28387.02,0,0,0,12/31/2018
4342342,71,280,40,11,6,9,2,3,4,4,2,2,9,3,-833145.245,80077.425,849337.675,-9654.41,-553608.835,1,332648.63,676647.195,830356.195,0,-2672797.265,0,0,0,0,0,0,0,1461605.53,-2294750.775,0,0,12/31/2018
0109686,,,,,,,,,,,,,1,1,-9934.225,,,,,,9044.59,-18978.815,0,0,0,0,0,0,0,0,0,0,-9934.225,0,0,0,12/31/2018
10751172524520441998,8,,,,2,,,,1,,,,1,1,12447,,1667,,,,12447,0,0,0,0,0,0,0,0,0,0,0,12447,0,0,0,12/31/2018
4385076,7,11,,,2,2,,,2,2,,,,,-184.05,,5344.84,,-10138.33,1,0,-193.22,9.17,0,0,0,0,0,0,0,0,0,-184.05,0,0,0,12/31/2018
0248271,32,9,,,3,2,,,1,1,,,4,3,247470.76,48.75,8707.44,-2000,-12471.88,,-21222.11,96081.98,80972.44,0,90109.5,1528.95,0,0,7646.69,0,0,0,149714.57,90109.5,0,0,12/31/2018
85201130504857178642,,17,,,,2,,,,1,,,3,1,78845.95,,,-51.95,-19342.62,,0,78845.95,0,0,0,0,0,0,0,0,0,0,78845.95,0,0,0,12/31/2018
85202140353937763190,2,10,,,1,2,,,1,2,,,1,1,236368.14,,932.58,,-10510.83,1,246878.97,0,-1645.11,0,-8865.72,0,0,0,0,0,0,0,-16145.86,252514,0,0,12/31/2018
4338794,,,,,,,,,,,,,2,2,169564.875,,,,,,5870.56,163694.315,0,0,0,0,0,0,0,0,0,0,169564.875,0,0,0,12/31/2018
4421705,2,,1,,1,,1,,1,,1,,4,2,-10546.04,,15000,,,,-66228.185,-141764.935,119447.5,0,77999.58,0,0,0,0,0,119447.5,0,-93669.385,-36324.155,0,0,12/31/2018
85101141754551705801,,4,,,,1,,,,1,,,,,-5599.88,,,,-4727.07,,-5599.88,0,0,0,0,0,0,0,0,0,0,0,-5599.88,0,0,0,12/31/2018
85201103804058131420,,,,,,,,,,,,,,,261.16,,,,,,261.16,0,0,0,0,0,0,0,0,0,0,0,261.16,0,0,0,12/31/2018
4371164,,,,,,,,,,,,,1,,-4102052.41,,,,,,0,-4102052.41,0,0,0,0,0,0,0,0,0,0,95144.8,-4197197.21,0,0,12/31/2018
4442998,1,4,,2,1,2,,1,1,1,,1,3,1,442292.465,,9795.31,-21955.89,-26932.2,,-9322.225,451614.69,0,0,0,0,0,0,0,0,0,0,442292.465,0,0,0,12/31/2018
10751172274140853094,1,1,1,,1,1,1,,1,1,1,,1,1,16911.35,,17000,,-5588.65,,0,16911.35,0,0,0,0,0,0,0,0,0,0,16911.35,0,0,0,12/31/2018
85101120603604318575,,1,,,,1,,,,1,,,,,-1049.38,,,,-1049.38,,-1049.38,0,0,0,0,0,0,0,0,0,0,0,-1049.38,0,0,0,12/31/2018
