CONTACT_ID,sales_12M,new_Fund_added_12M,refresh_date
10761171685327323628,4484.2,,12/31/2019
85102132684855362312,,,12/31/2019
85101122533782678327,128362.82,,12/31/2019
4478952,160930.89,1,12/31/2019
85102153463467397715,,,12/31/2019
4494433,4227630.86,2,12/31/2019
0143619,84092.87,,12/31/2019
0342020,,,12/31/2019
10751190125347642948,9900,,12/31/2019
4414919,2911862.745,,12/31/2019
85102152545269429560,,,12/31/2019
0123103,,,12/31/2019
4454113,,,12/31/2019
4454499,17384.975,1,12/31/2019
10751181064513234686,,,12/31/2019
85101160994351200134,,,12/31/2019
0342196,,,12/31/2019
4429672,,,12/31/2019
85201131033023928783,,,12/31/2019
1550276,,,12/31/2019
4421505,,,12/31/2019
4307955,936725.79,3,12/31/2019
4352909,,,12/31/2019
4354087,,,12/31/2019
0013873,,,12/31/2019
4364253,,,12/31/2019
0233792,,,12/31/2019
85202130105105692890,,,12/31/2019
85201140085750336158,,,12/31/2019
10761183273975189785,196.81,,12/31/2019
0329021,,,12/31/2019
0297843,389305.99,,12/31/2019
0236589,,,12/31/2019
4437485,,,12/31/2019
85101103664166173168,167162.87,,12/31/2019
4470585,,,12/31/2019
85201131873279585746,,,12/31/2019
10751190706565516085,,,12/31/2019
85101151255328340103,,,12/31/2019
10751190383740797764,95362.66,2,12/31/2019
85101110564923056924,,,12/31/2019
85201132266303250740,6670.41,1,12/31/2019
85102103715711974515,205041.14,1,12/31/2019
4493030,,,12/31/2019
4493887,,,12/31/2019
10751172695085700168,901.64,,12/31/2019
4395571,15376.1,1,12/31/2019
4369035,11037.5,,12/31/2019
85102140943881291064,634.07,2,12/31/2019
0285440,1232917.19,,12/31/2019
10751171525398211265,,,12/31/2019
0225136,,,12/31/2019
85202103724736711869,,,12/31/2019
0278790,223995.4,,12/31/2019
4472562,755430.6541,,12/31/2019
4487010,287972.16,,12/31/2019
4489924,1972.96,,12/31/2019
4338730,,,12/31/2019
0349052,,,12/31/2019
1729458,182493.5,,12/31/2019
10751172984658581806,3459,,12/31/2019
0044923,,,12/31/2019
0305749,,,12/31/2019
0096090,3015.69,,12/31/2019
4338154,,,12/31/2019
4382895,,,12/31/2019
85101152855334943264,,,12/31/2019
85101142513576696187,1932.81,,12/31/2019
4439877,367897.35,2,12/31/2019
4360881,,,12/31/2019
4448318,,,12/31/2019
4338975,,,12/31/2019
4485255,25808.53,,12/31/2019
4360406,,,12/31/2019
4430874,24021.635,,12/31/2019
85102131643126747415,50640.2688,,12/31/2019
85101131635346722013,35088.82,1,12/31/2019
85102111603325714393,34000,,12/31/2019
0327773,82500,1,12/31/2019
10751172445093223746,1507.04445,1,12/31/2019
0319312,,,12/31/2019
4456577,16594.57,1,12/31/2019
4456748,,,12/31/2019
4367813,,,12/31/2019
4488221,,,12/31/2019
0299098,179330.1931,2,12/31/2019
4340818,1052927.31,,12/31/2019
85102162315307238960,2045017.72,2,12/31/2019
4477448,2499.24,,12/31/2019
85201152923631850029,,,12/31/2019
0241222,,,12/31/2019
4452620,16538,1,12/31/2019
4332497,,,12/31/2019
85202162283557108376,10349.25475,1,12/31/2019
4416373,,,12/31/2019
10751200365158006267,,,12/31/2019
10761182624718985289,3613.015,,12/31/2019
0031432,523111.94,1,12/31/2019
0040684,6600,,12/31/2019
85101141065219934483,359.675,2,12/31/2019
10751200522721730590,,,12/31/2019
4343566,,,12/31/2019
85102160803332646663,14699.5,,12/31/2019
10761180364466017007,,,12/31/2019
10751181943360128152,63742.63,,12/31/2019
4347222,,,12/31/2019
85201142353703512341,,,12/31/2019
85202131735533288553,123564.5451,2,12/31/2019
85201151883798648358,,,12/31/2019
85202120224024993961,,,12/31/2019
4494899,,,12/31/2019
85202110123586369382,15035.58,2,12/31/2019
85201131003422532783,163625.96,3,12/31/2019
4424008,687.03,,12/31/2019
0197909,,,12/31/2019
4330791,310319.395,,12/31/2019
85102170395330080228,,,12/31/2019
4478460,,,12/31/2019
4451056,107931.42,,12/31/2019
85202141404365504073,154007.6163,2,12/31/2019
0329344,52755.2,,12/31/2019
4366165,9270.63,,12/31/2019
85101140365972537410,7342.97,,12/31/2019
0020137,,,12/31/2019
0024684,522697.685,2,12/31/2019
4473652,,,12/31/2019
00872200408624123394,,,12/31/2019
1142116,962975.48,1,12/31/2019
10761171664397998248,141.76,1,12/31/2019
10761193407004426980,2965,1,12/31/2019
85201143165529707247,22505.185,1,12/31/2019
85202161334719456104,,,12/31/2019
4398347,43000,1,12/31/2019
4457035,,,12/31/2019
85201131433300951710,,,12/31/2019
85202170243987248598,823.83,1,12/31/2019
85202150894565410720,,,12/31/2019
85102161215192727671,,,12/31/2019
85102153394473482823,11971.83,,12/31/2019
0300783,205.35,1,12/31/2019
0301568,18023729.43,3,12/31/2019
4392606,,,12/31/2019
4311102,,,12/31/2019
0024860,,,12/31/2019
85201150664606578104,1683363.45,4,12/31/2019
10751192744544956481,5328.45,2,12/31/2019
10751192746001513871,6501.98,1,12/31/2019
4323796,,,12/31/2019
85202133384955811399,1908.85,,12/31/2019
4362268,,,12/31/2019
4473013,219119.525,,12/31/2019
4425676,,,12/31/2019
00872162046017391337,,,12/31/2019
4302167,,,12/31/2019
4345119,,,12/31/2019
0095207,,,12/31/2019
4404601,,,12/31/2019
0093831,,,12/31/2019
4438123,,,12/31/2019
4391505,,,12/31/2019
85102141253884323025,,,12/31/2019
85102140664769688763,,,12/31/2019
4492967,,,12/31/2019
85101142594056706736,283.36,,12/31/2019
0186401,,,12/31/2019
85102140945229173396,,,12/31/2019
85102110114593453699,,,12/31/2019
4440805,3165.33,,12/31/2019
0270293,,,12/31/2019
0107978,429886.1313,,12/31/2019
4363961,40000,1,12/31/2019
4366045,,,12/31/2019
4326089,,,12/31/2019
4329722,,,12/31/2019
4414576,2824.2,,12/31/2019
4469923,1076496.65,,12/31/2019
85101113803705907010,11240.07082,,12/31/2019
85201132354899288146,212500,,12/31/2019
4450034,108.42,,12/31/2019
0047343,7454126.32,9,12/31/2019
85201122453613046678,840.27,,12/31/2019
85101150274067027232,,,12/31/2019
4366630,,,12/31/2019
0030616,,,12/31/2019
4466118,377847.39,2,12/31/2019
4479992,128853.75,,12/31/2019
0063447,,,12/31/2019
4345756,,,12/31/2019
0349896,,,12/31/2019
85202120054713058580,,,12/31/2019
85201141504475338508,,,12/31/2019
85202142585037569423,234332.935,,12/31/2019
10751180104993073241,,,12/31/2019
0339645,,,12/31/2019
10751190876586351034,3578.26,1,12/31/2019
85101160413370569640,3070.58,1,12/31/2019
85201130703997508773,2694.39,,12/31/2019
10761193445220231070,,,12/31/2019
85201142285268965320,,,12/31/2019
0302285,7420185.33,1,12/31/2019
10751171614028549124,,,12/31/2019
85201123114159882493,61820,1,12/31/2019
4430173,19582.97,1,12/31/2019
4416008,,,12/31/2019
4407959,19627.115,1,12/31/2019
4324184,1266334.88,,12/31/2019
10761171613872111681,,,12/31/2019
0267438,546133.0679,,12/31/2019
0215336,,,12/31/2019
85102130963217928113,380063.32,1,12/31/2019
85102131293838959649,,,12/31/2019
85201110194344681744,,,12/31/2019
85202170094323016503,,,12/31/2019
85102130965369859034,,,12/31/2019
4480885,12840.1,,12/31/2019
85201113374745200149,,,12/31/2019
85201171434230875938,,,12/31/2019
4429632,,,12/31/2019
0318567,667137.6671,,12/31/2019
0225650,,,12/31/2019
4301515,,,12/31/2019
0316644,,,12/31/2019
4446320,,,12/31/2019
10761173523840933375,72033.61,4,12/31/2019
4330730,71496.333,1,12/31/2019
10761190384808941976,248.91,2,12/31/2019
0339984,208098.738,1,12/31/2019
0340410,,,12/31/2019
4353396,522.67,1,12/31/2019
1505569,,,12/31/2019
85102113405672517405,1715569.61,,12/31/2019
4388106,293595.7575,1,12/31/2019
4385274,117817.14,2,12/31/2019
10761172245806379143,19812.54,,12/31/2019
0063833,,,12/31/2019
4416452,,,12/31/2019
4385720,185358.336,,12/31/2019
4344942,507923.6763,2,12/31/2019
10751173185708379514,25052.43,2,12/31/2019
0271856,49433.755,,12/31/2019
4336770,10000,1,12/31/2019
0271706,,,12/31/2019
0276069,161583.6,,12/31/2019
85101123096954788065,,,12/31/2019
0334543,,,12/31/2019
10761190754530491811,,,12/31/2019
0039080,,,12/31/2019
0237489,4394.38,1,12/31/2019
4328664,16019.67,1,12/31/2019
85102111663548601998,1647.9,,12/31/2019
85202143224529497518,,,12/31/2019
0288983,14423.89,,12/31/2019
4488993,,,12/31/2019
0293891,,,12/31/2019
10761171885854592253,,,12/31/2019
4460614,,,12/31/2019
10751200355540295549,,,12/31/2019
4380560,,,12/31/2019
4382888,,,12/31/2019
4387935,10325.455,,12/31/2019
85101170913670716729,,,12/31/2019
4366009,9324.06,,12/31/2019
4321943,,,12/31/2019
4499741,,,12/31/2019
4375536,,,12/31/2019
10751192725352016555,,,12/31/2019
0284871,,,12/31/2019
4478284,,,12/31/2019
0043564,,,12/31/2019
0304315,,,12/31/2019
10761180993147021989,38122.94,1,12/31/2019
4500107,,,12/31/2019
4328223,,,12/31/2019
10751191413802458362,36629,3,12/31/2019
0194541,3998.94,1,12/31/2019
85101110234138967979,,,12/31/2019
4321452,99546.11,,12/31/2019
85101113363713207258,,,12/31/2019
85101153754031730726,,,12/31/2019
85101171223609540636,1100.78,1,12/31/2019
4359663,,,12/31/2019
0357559,,,12/31/2019
0347664,905372,1,12/31/2019
85102161694000796549,1478.16,,12/31/2019
4316391,5502.83,,12/31/2019
4350057,,,12/31/2019
0113456,161236.5586,,12/31/2019
0060196,64366.32,,12/31/2019
85102113134114011512,5271950.14,1,12/31/2019
0154424,217033.2946,2,12/31/2019
0035860,13740.62,,12/31/2019
0047976,,,12/31/2019
4332366,531210,,12/31/2019
4393880,704.35,1,12/31/2019
4408900,177594.1,,12/31/2019
00872121355128893399,,,12/31/2019
85202132685607441551,55813.83,,12/31/2019
0286043,,,12/31/2019
4360854,115.29,1,12/31/2019
4360966,282667.055,,12/31/2019
4442297,,,12/31/2019
0350794,13114.85,,12/31/2019
4301488,,,12/31/2019
4458859,,,12/31/2019
85101112134414559031,46898.195,,12/31/2019
4390196,,,12/31/2019
0170143,4574.03,,12/31/2019
4474346,,,12/31/2019
85202112926303459090,,,12/31/2019
0353633,,,12/31/2019
10761171534036981532,4037.4,,12/31/2019
10751192067131254478,76900,1,12/31/2019
85101162314999158192,92665.38,1,12/31/2019
4330785,,,12/31/2019
4331358,,,12/31/2019
4410120,116648.76,1,12/31/2019
85201132725727479335,1444.1,,12/31/2019
4397255,57821.82,1,12/31/2019
10761173063372150683,16671.43269,3,12/31/2019
4435190,47.87,1,12/31/2019
4430688,21649.43,,12/31/2019
4491174,,,12/31/2019
0263842,,,12/31/2019
0264604,2369341.45,2,12/31/2019
0356266,10808.19,,12/31/2019
4455193,,,12/31/2019
4420222,,,12/31/2019
0242956,,,12/31/2019
85101153244714763889,54814.58,2,12/31/2019
4301586,,,12/31/2019
4302161,,,12/31/2019
0067990,16990,1,12/31/2019
4473681,405380.89,,12/31/2019
4435196,828.955,,12/31/2019
85101140663791976259,,,12/31/2019
85202141754921832037,876.84,,12/31/2019
0264213,49676.45,,12/31/2019
4398457,,,12/31/2019
4307510,,,12/31/2019
85201130323458925413,1942.35,1,12/31/2019
0065037,,,12/31/2019
0082566,,,12/31/2019
4355838,1098038.974,1,12/31/2019
4464545,2556.87,1,12/31/2019
4409857,2800.87,1,12/31/2019
85101151643656258730,,,12/31/2019
4356554,220904.35,2,12/31/2019
85102132595493091125,,,12/31/2019
4380988,,,12/31/2019
4464198,,,12/31/2019
4330902,2500.0025,1,12/31/2019
10751192094308751676,,,12/31/2019
0102408,,,12/31/2019
0081709,1418036.67,1,12/31/2019
4333230,,,12/31/2019
4469732,19267.06,,12/31/2019
0118442,,,12/31/2019
4419805,115139.74,1,12/31/2019
